state,statefp,county,countyfp,year,month,trap_type,num_sites,num_collection_events,num_trap_nights,num_aegypti_collected,num_albopictus_collected,num_collections_aegypti,num_collections_albopictus
North Carolina,37,Forsyth,067,2017,4,CO2,6,6,6,0,0,0,0
North Carolina,37,Forsyth,067,2017,5,BGS,1,1,1,0,424,0,1
North Carolina,37,Forsyth,067,2017,5,CO2,9,13,13,0,14,0,4
North Carolina,37,Forsyth,067,2017,5,GRAV,9,17,18,0,55,0,8
North Carolina,37,Forsyth,067,2017,6,BGS,2,2,2,0,31,0,2
North Carolina,37,Forsyth,067,2017,6,CO2,14,18,18,0,10,0,5
North Carolina,37,Forsyth,067,2017,6,GRAV,13,32,38,0,68,0,17
North Carolina,37,Forsyth,067,2017,7,BGS,4,5,5,0,1381,0,5
North Carolina,37,Forsyth,067,2017,7,CO2,7,8,8,0,2,0,1
North Carolina,37,Forsyth,067,2017,7,GRAV,12,25,25,0,267,0,17
North Carolina,37,Forsyth,067,2017,8,GRAV,1,1,1,0,3,0,1
North Carolina,37,Forsyth,067,2018,5,CO2,4,6,6,0,0,0,0
North Carolina,37,Forsyth,067,2018,5,GRAV,9,26,26,0,15,0,9
North Carolina,37,Forsyth,067,2018,6,BGS,3,3,16,0,68,0,3
North Carolina,37,Forsyth,067,2018,6,CO2,10,10,10,0,5,0,3
North Carolina,37,Forsyth,067,2018,6,GRAV,11,15,15,0,32,0,11
North Carolina,37,Forsyth,067,2018,7,BGS,1,1,1,0,1,0,1
North Carolina,37,Forsyth,067,2018,7,CO2,4,6,6,0,0,0,0
North Carolina,37,Forsyth,067,2018,7,GRAV,18,32,38,0,140,0,24
North Carolina,37,Forsyth,067,2018,8,CO2,6,7,7,0,17,0,3
North Carolina,37,Forsyth,067,2018,8,GRAV,17,32,32,0,134,0,25
North Carolina,37,Forsyth,067,2018,9,BGS,1,1,1,0,2,0,1
North Carolina,37,Forsyth,067,2018,9,GRAV,3,6,6,0,147,0,6
North Carolina,37,Forsyth,067,2018,10,CO2,4,5,5,0,0,0,0
North Carolina,37,Forsyth,067,2018,10,GRAV,3,3,3,0,45,0,3
North Carolina,37,New Hanover,129,2017,2,CO2,8,11,11,0,0,0,0
North Carolina,37,New Hanover,129,2017,3,CO2,8,31,37,0,0,0,0
North Carolina,37,New Hanover,129,2017,4,CO2,8,28,28,0,2,0,1
North Carolina,37,New Hanover,129,2017,5,CO2,12,45,45,0,69,0,17
North Carolina,37,New Hanover,129,2017,6,BGS,2,2,3,0,5,0,2
North Carolina,37,New Hanover,129,2017,6,CO2,10,36,36,0,58,0,13
North Carolina,37,New Hanover,129,2017,7,CO2,11,39,39,0,63,0,18
