"","county","year","month","trap_type","num_collection_events","num_trap_nights","num_albopictus_collected","num_collections_albopictus","mean_t","sum_p","prop_pos","std_catch"
"1","Forsyth",2017,4,"CO2",6,6,0,0,17.7222222222222,5.74,0,0
"2","Forsyth",2017,5,"BGS",1,1,424,1,19.6666666666667,7.12,1,424
"3","Forsyth",2017,5,"CO2",13,13,14,4,19.6666666666667,7.12,0.307692307692308,1.07692307692308
"4","Forsyth",2017,5,"GRAV",17,18,55,8,19.6666666666667,7.12,0.470588235294118,3.05555555555556
"5","Forsyth",2017,6,"BGS",2,2,31,2,23.5555555555556,9.94,1,15.5
"6","Forsyth",2017,6,"CO2",18,18,10,5,23.5555555555556,9.94,0.277777777777778,0.555555555555556
"7","Forsyth",2017,6,"GRAV",32,38,68,17,23.5555555555556,9.94,0.53125,1.78947368421053
"8","Forsyth",2017,7,"BGS",5,5,1381,5,26.6666666666667,1.04,1,276.2
"9","Forsyth",2017,7,"CO2",8,8,2,1,26.6666666666667,1.04,0.125,0.25
"10","Forsyth",2017,7,"GRAV",25,25,267,17,26.6666666666667,1.04,0.68,10.68
"11","Forsyth",2017,8,"GRAV",1,1,3,1,24.6111111111111,2.44,1,3
"12","Forsyth",2018,5,"CO2",6,6,0,0,22.8888888888889,3.77,0,0
"13","Forsyth",2018,5,"GRAV",26,26,15,9,22.8888888888889,3.77,0.346153846153846,0.576923076923077
"14","Forsyth",2018,6,"BGS",3,16,68,3,25.3333333333333,2.53,1,4.25
"15","Forsyth",2018,6,"CO2",10,10,5,3,25.3333333333333,2.53,0.3,0.5
"16","Forsyth",2018,6,"GRAV",15,15,32,11,25.3333333333333,2.53,0.733333333333333,2.13333333333333
"17","Forsyth",2018,7,"BGS",1,1,1,1,25.8333333333333,6.04,1,1
"18","Forsyth",2018,7,"CO2",6,6,0,0,25.8333333333333,6.04,0,0
"19","Forsyth",2018,7,"GRAV",32,38,140,24,25.8333333333333,6.04,0.75,3.68421052631579
"20","Forsyth",2018,8,"CO2",7,7,17,3,25.5,6.97,0.428571428571429,2.42857142857143
"21","Forsyth",2018,8,"GRAV",32,32,134,25,25.5,6.97,0.78125,4.1875
"22","Forsyth",2018,9,"BGS",1,1,2,1,24.2222222222222,9.17,1,2
"23","Forsyth",2018,9,"GRAV",6,6,147,6,24.2222222222222,9.17,1,24.5
"24","Forsyth",2018,10,"CO2",5,5,0,0,16.6111111111111,7.22,0,0
"25","Forsyth",2018,10,"GRAV",3,3,45,3,16.6111111111111,7.22,1,15
"26","New Hanover",2017,2,"CO2",11,11,0,0,13,1.33,0,0
"27","New Hanover",2017,3,"CO2",31,37,0,0,11.9444444444444,2.71,0,0
"28","New Hanover",2017,4,"CO2",28,28,2,1,20,7.05,0.0357142857142857,0.0714285714285714
"29","New Hanover",2017,5,"CO2",45,45,69,17,22.7777777777778,5.19,0.377777777777778,1.53333333333333
"30","New Hanover",2017,6,"BGS",2,3,5,2,25.3333333333333,10.11,1,1.66666666666667
"31","New Hanover",2017,6,"CO2",36,36,58,13,25.3333333333333,10.11,0.361111111111111,1.61111111111111
"32","New Hanover",2017,7,"CO2",39,39,63,18,27.7777777777778,6.59,0.461538461538462,1.61538461538462
"33","New Hanover",2017,8,"CO2",48,48,70,22,26.3888888888889,10.18,0.458333333333333,1.45833333333333
"34","New Hanover",2017,9,"BGS",3,3,3,2,24.5555555555556,3.82,0.666666666666667,1
"35","New Hanover",2017,9,"CO2",38,38,22,7,24.5555555555556,3.82,0.184210526315789,0.578947368421053
"36","New Hanover",2017,10,"BGS",13,16,2,2,20.1666666666667,6.51,0.153846153846154,0.125
"37","New Hanover",2017,10,"CO2",48,48,10,5,20.1666666666667,6.51,0.104166666666667,0.208333333333333
"38","New Hanover",2017,11,"BGS",4,4,1,1,13.6111111111111,1.07,0.25,0.25
"39","New Hanover",2017,11,"CO2",36,36,4,3,13.6111111111111,1.07,0.0833333333333333,0.111111111111111
"40","New Hanover",2017,12,"BGS",2,2,1,1,9.22222222222222,3.86,0.5,0.5
"41","New Hanover",2018,1,"BGS",1,1,0,0,5.27777777777778,6.82,0,0
"42","New Hanover",2018,2,"BGS",3,3,0,0,14.1666666666667,1.83,0,0
"43","New Hanover",2018,3,"BGS",4,8,0,0,10.6666666666667,3.25,0,0
"44","New Hanover",2018,3,"CO2",31,31,0,0,10.6666666666667,3.25,0,0
"45","New Hanover",2018,4,"BGS",4,4,0,0,15.8333333333333,5.37,0,0
"46","New Hanover",2018,4,"CO2",36,36,0,0,15.8333333333333,5.37,0,0
"47","New Hanover",2018,4,"GRAV",1,1,1,1,15.8333333333333,5.37,1,1
"48","New Hanover",2018,5,"BGS",9,9,1,1,23.7777777777778,14.36,0.111111111111111,0.111111111111111
"49","New Hanover",2018,5,"CO2",48,48,23,9,23.7777777777778,14.36,0.1875,0.479166666666667
"50","New Hanover",2018,5,"GRAV",1,1,0,0,23.7777777777778,14.36,0,0
"51","New Hanover",2018,6,"BGS",8,23,30,6,27.1111111111111,8.41,0.75,1.30434782608696
"52","New Hanover",2018,6,"CO2",39,39,147,16,27.1111111111111,8.41,0.41025641025641,3.76923076923077
