"","state","statefp","county","countyfp","year","month","trap_type","num_collection_events","num_sites","num_trap_nights","num_aegypti_collected","num_albopictus_collected","num_collections_aegypti","num_collections_albopictus","GEOID"
"1","California","06","Alameda","001",2013,4,"CO2",11,11,11,0,0,0,0,"06001"
"2","California","06","Alameda","001",2013,5,"CO2",9,9,9,0,0,0,0,"06001"
"3","California","06","Alameda","001",2013,6,"CO2",11,11,11,0,0,0,0,"06001"
"4","California","06","Alameda","001",2013,7,"CO2",15,15,15,0,0,0,0,"06001"
"5","California","06","Alameda","001",2013,8,"CO2",17,15,17,0,0,0,0,"06001"
"6","California","06","Alameda","001",2013,9,"CO2",11,11,11,0,0,0,0,"06001"
"7","California","06","Alameda","001",2014,3,"CO2",6,6,12,0,0,0,0,"06001"
"8","California","06","Alameda","001",2014,4,"CO2",22,17,22,0,0,0,0,"06001"
"9","California","06","Alameda","001",2014,4,"GAT",5,4,70,0,0,0,0,"06001"
"10","California","06","Alameda","001",2014,5,"CO2",16,15,17,0,0,0,0,"06001"
"11","California","06","Alameda","001",2014,5,"GAT",5,5,70,0,0,0,0,"06001"
"12","California","06","Alameda","001",2014,6,"CO2",25,22,25,0,0,0,0,"06001"
"13","California","06","Alameda","001",2014,6,"GAT",34,19,396,0,0,0,0,"06001"
"14","California","06","Alameda","001",2014,7,"CO2",36,20,36,0,0,0,0,"06001"
"15","California","06","Alameda","001",2014,7,"GAT",80,20,536,0,0,0,0,"06001"
"16","California","06","Alameda","001",2014,8,"CO2",71,40,71,0,0,0,0,"06001"
"17","California","06","Alameda","001",2014,8,"GAT",70,20,339,0,0,0,0,"06001"
"18","California","06","Alameda","001",2014,9,"CO2",23,15,23,0,0,0,0,"06001"
"19","California","06","Alameda","001",2014,10,"CO2",10,7,10,0,0,0,0,"06001"
"20","California","06","Alameda","001",2014,11,"CO2",5,5,5,0,0,0,0,"06001"
"21","California","06","Alameda","001",2014,12,"CO2",6,6,6,0,0,0,0,"06001"
"22","California","06","Alameda","001",2015,2,"CO2",21,21,21,0,0,0,0,"06001"
"23","California","06","Alameda","001",2015,3,"CO2",27,23,27,0,0,0,0,"06001"
"24","California","06","Alameda","001",2015,4,"CO2",45,35,45,0,0,0,0,"06001"
"25","California","06","Alameda","001",2015,5,"CO2",12,12,12,0,0,0,0,"06001"
"26","California","06","Alameda","001",2015,5,"GAT-PRES",4,1,32,NA,NA,0,0,"06001"
"27","California","06","Alameda","001",2015,6,"CO2",152,117,165,0,0,0,0,"06001"
"28","California","06","Alameda","001",2015,7,"CO2",184,128,219,0,0,0,0,"06001"
"29","California","06","Alameda","001",2015,8,"CO2",148,119,163,0,0,0,0,"06001"
"30","California","06","Alameda","001",2015,9,"CO2",134,93,172,0,0,0,0,"06001"
"31","California","06","Alameda","001",2015,10,"CO2",132,89,197,0,0,0,0,"06001"
"32","California","06","Alameda","001",2015,11,"CO2",57,56,57,0,0,0,0,"06001"
"33","California","06","Alameda","001",2015,12,"CO2",6,6,24,0,0,0,0,"06001"
