"","state","county","GEOID","year","month","ppt","tmean"
"1","California","Alameda","06001",2007,1,18.1499187655565,8.29601627055222
"1.12","California","Alameda","06001",2007,2,108.719512691343,10.3848780538978
"1.13","California","Alameda","06001",2007,3,12.6284553209941,13.4282927706959
"1.14","California","Alameda","06001",2007,4,25.7734146893509,13.6418699016416
"1.15","California","Alameda","06001",2007,5,6.52300814836006,16.1694309498236
"1.16","California","Alameda","06001",2007,6,0.00634146337889559,18.3093090832718
"1.17","California","Alameda","06001",2007,7,0.188943089114699,20.0009756475929
"1.18","California","Alameda","06001",2007,8,0.0229268296947324,20.5615446664454
"1.19","California","Alameda","06001",2007,9,6.97894310724081,18.9091462701317
"1.20","California","Alameda","06001",2007,10,37.6104879766945,15.6116259660178
"1.21","California","Alameda","06001",2007,11,16.7206503899117,13.6655690495561
"1.22","California","Alameda","06001",2007,12,58.318780418334,8.19215447728227
"1.1","California","Alameda","06001",2008,1,166.014552852972,7.96837400808567
"1.1.1","California","Alameda","06001",2008,2,63.7423578587974,10.0058129744801
"1.1.2","California","Alameda","06001",2008,3,6.41910568873088,11.6184146539952
"1.1.3","California","Alameda","06001",2008,4,3.30682926472064,12.7860162781506
"1.1.4","California","Alameda","06001",2008,5,0.579999997802987,15.9763008210717
"1.1.5","California","Alameda","06001",2008,6,0.000975609734290984,18.9993495786093
"1.1.6","California","Alameda","06001",2008,7,0.00178861789163051,20.3088618642916
"1.1.7","California","Alameda","06001",2008,8,0,20.9795121138658
"1.1.8","California","Alameda","06001",2008,9,0.0686991867132303,20.4658129777366
"1.1.9","California","Alameda","06001",2008,10,8.36219512737863,18.0049187885067
"1.1.10","California","Alameda","06001",2008,11,50.0384551877898,14.1279268264771
"1.1.11","California","Alameda","06001",2008,12,54.0486177273882,8.33536586141199
"1.2","California","Alameda","06001",2009,1,33.7282926667997,10.1738618137391
"1.2.1","California","Alameda","06001",2009,2,135.701626041071,10.0714633794335
"1.2.2","California","Alameda","06001",2009,3,64.3617071291296,11.449349577834
"1.2.3","California","Alameda","06001",2009,4,10.3549593367228,13.2659349519063
"1.2.4","California","Alameda","06001",2009,5,19.0669918467359,16.9625610103452
"1.2.5","California","Alameda","06001",2009,6,0.720162602535229,18.0232113628853
"1.2.6","California","Alameda","06001",2009,7,0.00382113826226413,20.2151626261269
"1.2.7","California","Alameda","06001",2009,8,0.160162601120225,20.8075610215102
"1.2.8","California","Alameda","06001",2009,9,7.16577237602172,21.4480082038941
"1.2.9","California","Alameda","06001",2009,10,88.336097438161,16.0918291681181
"1.2.10","California","Alameda","06001",2009,11,9.98422764181122,12.4781707825699
"1.2.11","California","Alameda","06001",2009,12,62.6357722708849,8.60146337989869
"1.3","California","Alameda","06001",2010,1,145.95382113573,9.63747969681654
"1.3.1","California","Alameda","06001",2010,2,68.379837625395,10.9439837176625
"1.3.2","California","Alameda","06001",2010,3,53.8521950264287,11.7060162885402
"1.3.3","California","Alameda","06001",2010,4,84.4132522334897,11.6710162821824
"1.3.4","California","Alameda","06001",2010,5,22.9622764820006,13.6554064711904
"1.3.5","California","Alameda","06001",2010,6,0.108211382648082,18.2103659234396
"1.3.6","California","Alameda","06001",2010,7,0.00113821138695973,19.4781706817751
"1.3.7","California","Alameda","06001",2010,8,0.00723577222627838,18.9665446785407
"1.3.8","California","Alameda","06001",2010,9,0.291382113607918,20.4605283969786
"1.3.9","California","Alameda","06001",2010,10,26.5565040247227,17.2729268655544
"1.3.10","California","Alameda","06001",2010,11,67.7269104748237,12.2914227741521
"1.3.11","California","Alameda","06001",2010,12,137.063657745113,10.4191463129307
"1.4","California","Alameda","06001",2011,1,29.1485366511151,9.56357729919558
"1.4.1","California","Alameda","06001",2011,2,97.8090242215288,9.37296743703082
"1.4.2","California","Alameda","06001",2011,3,144.880812358081,10.7569511653931
"1.4.3","California","Alameda","06001",2011,4,8.09601623062196,12.5981707611704
"1.4.4","California","Alameda","06001",2011,5,22.8288617793137,13.6693902131988
"1.4.5","California","Alameda","06001",2011,6,48.8426015280127,17.0645935089608
"1.4.6","California","Alameda","06001",2011,7,0.195528454836307,19.6068699534346
"1.4.7","California","Alameda","06001",2011,8,0.0722764239502632,19.8480487296252
"1.4.8","California","Alameda","06001",2011,9,0.0686178863411996,21.1857722677836
"1.4.9","California","Alameda","06001",2011,10,30.792845671739,17.6008130670563
"1.4.10","California","Alameda","06001",2011,11,30.7220324539557,11.6536178356264
"1.4.11","California","Alameda","06001",2011,12,2.90154472405348,9.29268292295254
"1.5","California","Alameda","06001",2012,1,56.0811381611398,10.0868292475134
"1.5.1","California","Alameda","06001",2012,2,20.0072357363817,10.7726422674288
"1.5.2","California","Alameda","06001",2012,3,105.986666919739,10.5992276261492
"1.5.3","California","Alameda","06001",2012,4,78.265528454044,13.3280894659399
"1.5.4","California","Alameda","06001",2012,5,0.790731700379553,15.8652439892777
"1.5.5","California","Alameda","06001",2012,6,3.62975612306983,18.0205283824021
"1.5.6","California","Alameda","06001",2012,7,0.10430894345348,19.3932114112668
"1.5.7","California","Alameda","06001",2012,8,0.0235772356996691,20.8232114218115
"1.5.8","California","Alameda","06001",2012,9,0.00756097551647241,19.1035365050401
"1.5.9","California","Alameda","06001",2012,10,20.1415447297135,17.6098780360648
"1.5.10","California","Alameda","06001",2012,11,86.6156098280496,13.4783740159942
"1.5.11","California","Alameda","06001",2012,12,177.254959106445,9.4041869659734
"1.6","California","Alameda","06001",2013,1,15.2035772005717,8.08719513668277
"1.6.1","California","Alameda","06001",2013,2,12.390162630779,9.66430893564612
"1.6.2","California","Alameda","06001",2013,3,14.9929267759246,12.8466260103675
"1.6.3","California","Alameda","06001",2013,4,20.9064228282711,15.4058942329593
"1.6.4","California","Alameda","06001",2013,5,2.15642276595581,16.6182114283244
"1.6.5","California","Alameda","06001",2013,6,2.25967479527481,19.2486178390379
"1.6.6","California","Alameda","06001",2013,7,0,20.6992276819741
"1.6.7","California","Alameda","06001",2013,8,0.0968292691267845,19.6796340942383
"1.6.8","California","Alameda","06001",2013,9,14.43788614118,19.2986178514434
"1.6.9","California","Alameda","06001",2013,10,0.119512194873599,16.5800406758378
"1.6.10","California","Alameda","06001",2013,11,27.904308753285,13.4908536120159
"1.6.11","California","Alameda","06001",2013,12,11.7093495973727,9.20211378733317
"1.7","California","Alameda","06001",2014,1,2.55227642136861,12.438780458962
"1.7.1","California","Alameda","06001",2014,2,96.7152031068879,11.5309350316117
"1.7.2","California","Alameda","06001",2014,3,54.2830895059477,13.979918697016
"1.7.3","California","Alameda","06001",2014,4,46.1890241886542,14.3974796543276
"1.7.4","California","Alameda","06001",2014,5,0.410243901507399,17.6504471631554
"1.7.5","California","Alameda","06001",2014,6,0.0401626018943583,18.9217885955562
"1.7.6","California","Alameda","06001",2014,7,0.0210569106890419,21.6250813802083
"1.7.7","California","Alameda","06001",2014,8,0.0565853658609274,20.8378455774571
"1.7.8","California","Alameda","06001",2014,9,9.47284551558456,20.7146747868236
"1.7.9","California","Alameda","06001",2014,10,6.23943089596867,19.2968292546466
"1.7.10","California","Alameda","06001",2014,11,43.2085365977714,14.1494715388228
"1.7.11","California","Alameda","06001",2014,12,252.442194496713,11.9998780537427
"1.8","California","Alameda","06001",2015,1,0.00934959342324637,11.1265040762056
"1.8.1","California","Alameda","06001",2015,2,59.4730081015486,13.7658943858573
"1.8.2","California","Alameda","06001",2015,3,7.90040650212668,15.2302438456838
"1.8.3","California","Alameda","06001",2015,4,32.0943089461908,14.1321951780862
"1.8.4","California","Alameda","06001",2015,5,9.96829270214085,14.4518055644462
"1.8.5","California","Alameda","06001",2015,6,4.72512195556144,19.5977326059729
"1.8.6","California","Alameda","06001",2015,7,0.462357723858298,20.862334305678
"1.8.7","California","Alameda","06001",2015,8,0.216422764811574,21.0864155777102
"1.8.8","California","Alameda","06001",2015,9,0.171463414254348,21.2272691959288
"1.8.9","California","Alameda","06001",2015,10,1.96105692129794,19.3208789825439
"1.8.10","California","Alameda","06001",2015,11,54.7680487128777,11.4733664272277
"1.8.11","California","Alameda","06001",2015,12,93.9606667185217,8.78180528656254
"1.9","California","Alameda","06001",2016,1,139.587642142443,10.1840980576306
"1.9.1","California","Alameda","06001",2016,2,20.9815446652048,13.0234802835356
"1.9.2","California","Alameda","06001",2016,3,146.970488075318,12.9527892291061
"1.9.3","California","Alameda","06001",2016,4,43.5135772208857,14.8420820003603
"1.9.4","California","Alameda","06001",2016,5,6.27641464248905,16.3057081098479
"1.9.5","California","Alameda","06001",2016,6,0,19.9073911372239
"1.9.6","California","Alameda","06001",2016,7,0.0128780489331263,20.3919766123702
"1.9.7","California","Alameda","06001",2016,8,0.0239593495380103,19.9626919506042
"1.9.8","California","Alameda","06001",2016,9,0.000650406500884915,19.7489277599304
"1.9.9","California","Alameda","06001",2016,10,96.9224305811936,16.5232365926107
"1.9.10","California","Alameda","06001",2016,11,38.7106260129107,13.4108380418483
"1.9.11","California","Alameda","06001",2016,12,92.3396990706281,8.89498410961492
"1.10","California","Alameda","06001",2017,1,242.137633781123,8.30103292697813
"1.10.1","California","Alameda","06001",2017,2,196.300389917885,10.8680167702155
"1.10.2","California","Alameda","06001",2017,3,68.9562278995669,12.9225941014484
"1.10.3","California","Alameda","06001",2017,4,63.0197152083482,13.6091713246291
"1.10.4","California","Alameda","06001",2017,5,0.549186993608009,16.8152284156985
"1.10.5","California","Alameda","06001",2017,6,0.778186987282905,19.5239683787028
"1.10.6","California","Alameda","06001",2017,7,0.00305691057043832,21.5112368110719
"1.10.7","California","Alameda","06001",2017,8,0.0243008128013386,21.2066594875925
"1.10.8","California","Alameda","06001",2017,9,1.68588617568215,21.1996676437254
"1.10.9","California","Alameda","06001",2017,10,5.17651219435824,17.614261053442
"1.10.10","California","Alameda","06001",2017,11,71.1929513884754,13.1781794617816
"1.10.11","California","Alameda","06001",2017,12,2.31226829106246,10.1155533131545
"1.11","California","Alameda","06001",2018,1,103.400129612868,10.6798053912031
"1.11.1","California","Alameda","06001",2018,2,10.7089837237102,11.1350086646351
"1.11.2","California","Alameda","06001",2018,3,112.16495178967,10.9447810242816
"1.11.3","California","Alameda","06001",2018,4,62.1388291769881,13.5650087527143
"1.11.4","California","Alameda","06001",2018,5,0.290235771950925,15.052431633802
"1.11.5","California","Alameda","06001",2018,6,0.0113008133262562,18.3866512407132
"1.11.6","California","Alameda","06001",2018,7,0,21.3953425089518
"1.11.7","California","Alameda","06001",2018,8,0,19.949252989234
"1.11.8","California","Alameda","06001",2018,9,0,19.0758139447468
"1.11.9","California","Alameda","06001",2018,10,2.90386991433012,17.4491715004774
"1.11.10","California","Alameda","06001",2018,11,80.4770483001461,14.0444478290837
"1.11.11","California","Alameda","06001",2018,12,50.1339918617311,10.0129760687913
"60","California","Butte","06007",2007,1,12.8446743009733,6.811264361915
